Rank_x,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Rank_y,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year
=187,Eindhoven University of TechnologyNetherlandsCoursesExplore,"9,469",21.3,23%,,=187,54.9,46.5,49.7,57.9,99.8,82.3,2021
=187,George Washington UniversityUnited StatesCoursesEnquire,"23,788",13.4,17%,60 : 40,=187,54.9,46.9,33.3,85.8,34.4,55.9,2021
=187,Technical University of DenmarkDenmarkCoursesVerify Documents,"9,412",6.7,25%,31 : 69,=187,54.9,39.8,41.2,72.4,78.4,92.7,2021
=187,Yonsei University (Seoul campus)South KoreaCoursesExplore,"17,745",14.7,22%,48 : 52,=187,54.9,52.2,53.7,54.0,99.5,58.6,2021
=191,Cardiff UniversityUnited KingdomCoursesEnquire,"25,898",14.1,28%,59 : 41,=191,54.7,32.4,35.6,89.4,36.7,86.8,2021
=191,University of GothenburgSwedenCoursesVerify Documents,"19,616",9.8,13%,,=191,54.7,27.7,40.8,94.0,39.4,66.2,2021
=191,University of LausanneSwitzerlandCourses,"12,685",8.8,24%,,=191,54.7,33.1,44.1,76.1,71.3,92.6,2021
=191,Tel Aviv UniversityIsraelCourses,"22,635",22.3,7%,56 : 44,=191,54.7,40.1,52.0,73.0,41.1,56.2,2021
=195,Macquarie UniversityAustraliaCoursesExplore,"29,835",65.5,29%,53 : 47,=195,54.6,38.5,43.1,73.7,58.6,87.1,2021
=195,University of MünsterGermanyCoursesVerify Documents,"44,580",42.9,8%,,=195,54.6,39.2,43.8,82.5,47.0,49.5,2021
197,Texas A&M UniversityUnited StatesCoursesExplore,"62,070",24.4,8%,47 : 53,197,54.5,47.4,51.6,64.8,44.9,56.1,2021
=198,University of BarcelonaSpainCoursesExplore,"45,494",15.0,11%,62 : 38,=198,54.4,31.0,40.2,91.5,45.9,58.6,2021
=198,University of Erlangen-NurembergGermanyCourses,"38,052",57.3,12%,49 : 51,=198,54.4,41.6,46.2,72.6,88.4,53.8,2021
=200,University of CalgaryCanadaCoursesEnquire,"31,863",17.6,21%,54 : 46,=200,54.3,33.7,36.1,87.0,51.3,80.2,2021
=200,University of East AngliaUnited KingdomCoursesExplore,"15,757",13.8,27%,59 : 41,=200,54.3,27.8,31.4,97.1,34.5,87.9,2021
=200,Queen’s University BelfastUnited KingdomCoursesExplore,"18,438",17.2,36%,56 : 44,=200,54.3,31.5,38.1,84.0,38.4,96.7,2021
201–250,Aalborg UniversityDenmarkCoursesExplore,"16,227",13.4,14%,,201–250,50.6–54.2,27.6,38.6,85.6,49.1,74.5,2021
201–250,Aalto UniversityFinlandCourses,"12,506",18.6,24%,37 : 63,201–250,50.6–54.2,39.8,38.8,70.7,50.0,82.7,2021
201–250,University of BathUnited KingdomCoursesEnquireAdmissions Support,"14,410",16.2,33%,46 : 54,201–250,50.6–54.2,30.0,32.2,80.5,36.5,91.8,2021
201–250,University of BergenNorwayCourses,"14,297",12.4,13%,60 : 40,201–250,50.6–54.2,28.3,29.0,94.4,36.3,78.3,2021
201–250,Brandeis UniversityUnited StatesCoursesEnquireAdmissions Support,"5,346",12.7,27%,58 : 42,201–250,50.6–54.2,28.1,24.4,99.9,34.7,55.8,2021
201–250,"University of California, Santa CruzUnited StatesCoursesEnquire","19,457",23.8,12%,49 : 51,201–250,50.6–54.2,31.4,31.9,96.2,38.9,63.6,2021
201–250,Chalmers University of TechnologySwedenCoursesVerify Documents,"8,325",11.9,17%,32 : 68,201–250,50.6–54.2,38.8,42.6,61.6,78.9,84.0,2021
201–250,Copenhagen Business SchoolDenmarkCoursesVerify Documents,"16,312",30.7,25%,48 : 52,201–250,50.6–54.2,25.7,33.1,86.2,42.4,93.3,2021
201–250,Curtin UniversityAustraliaCoursesExplore,"30,130",20.5,32%,52 : 48,201–250,50.6–54.2,24.1,30.5,86.9,42.1,95.0,2021
201–250,University of Duisburg-EssenGermanyCoursesExplore,"42,744",53.6,19%,48 : 52,201–250,50.6–54.2,31.8,33.6,91.5,70.4,60.4,2021
201–250,University of DundeeUnited KingdomCoursesEnquire,"12,247",17.5,22%,63 : 37,201–250,50.6–54.2,23.9,32.1,91.5,49.3,80.9,2021
201–250,Griffith UniversityAustraliaCoursesExplore,"33,645",28.6,17%,58 : 42,201–250,50.6–54.2,26.7,35.3,85.6,48.0,82.2,2021
201–250,University of Hawai’i at MānoaUnited StatesCoursesEnquire,"14,732",10.6,10%,57 : 43,201–250,50.6–54.2,37.0,39.3,72.3,52.5,65.5,2021
201–250,Hebrew University of JerusalemIsraelCourses,"16,105",11.9,5%,57 : 43,201–250,50.6–54.2,45.6,45.0,61.3,42.6,60.5,2021
201–250,University of HohenheimGermanyCoursesVerify Documents,"9,235",42.5,15%,57 : 43,201–250,50.6–54.2,33.8,31.1,96.4,50.8,55.8,2021
201–250,Howard UniversityUnited StatesCoursesEnquire,"8,766",9.3,8%,67 : 33,201–250,50.6–54.2,43.9,17.0,99.5,33.3,35.0,2021
201–250,University of IowaUnited StatesCoursesEnquire,"29,406",11.6,10%,53 : 47,201–250,50.6–54.2,42.3,30.2,80.6,50.6,46.1,2021
201–250,James Cook UniversityAustraliaCoursesEnquire,"11,198",21.0,11%,64 : 36,201–250,50.6–54.2,22.7,28.9,94.2,45.3,76.4,2021
201–250,Karlsruhe Institute of TechnologyGermanyCoursesVerify Documents,"26,886",27.9,23%,28 : 72,201–250,50.6–54.2,45.4,49.4,60.0,94.6,71.2,2021
201–250,King Abdulaziz UniversitySaudi ArabiaCoursesExplore,"31,869",7.8,22%,54 : 46,201–250,50.6–54.2,30.6,16.0,95.2,77.7,93.4,2021
201–250,KTH Royal Institute of TechnologySwedenCoursesVerify Documents,"13,482",16.5,20%,33 : 67,201–250,50.6–54.2,41.3,44.1,58.0,51.0,88.7,2021
201–250,La Trobe UniversityAustraliaCoursesEnquire,"22,303",31.9,30%,64 : 36,201–250,50.6–54.2,27.9,34.6,82.7,50.0,86.7,2021
201–250,Université Libre de BruxellesBelgiumCoursesVerify Documents,"24,157",42.1,31%,56 : 44,201–250,50.6–54.2,32.1,42.6,76.2,42.6,88.8,2021
201–250,University of LuxembourgLuxembourgCourses,"4,858",19.0,51%,52 : 48,201–250,50.6–54.2,35.7,35.0,73.2,45.2,99.6,2021
201–250,University of MassachusettsUnited StatesCoursesEnquire,"61,958",13.3,15%,48 : 52,201–250,50.6–54.2,37.3,32.0,88.3,50.7,64.1,2021
201–250,Medical University of GrazAustriaCourses,"3,541",12.1,25%,52 : 48,201–250,50.6–54.2,29.8,27.3,95.1,62.6,76.0,2021
201–250,Medical University of InnsbruckAustriaCourses,"3,080",11.0,44%,52 : 48,201–250,50.6–54.2,31.0,26.3,92.3,86.9,87.0,2021
201–250,Medical University of ViennaAustriaCourses,"7,466",8.8,30%,52 : 48,201–250,50.6–54.2,33.4,25.4,92.2,57.8,79.2,2021
201–250,University of MiamiUnited StatesCoursesEnquireAdmissions Support,"16,179",6.3,16%,52 : 48,201–250,50.6–54.2,45.1,25.0,81.4,40.5,60.6,2021
201–250,Moscow Institute of Physics and Technology (MIPT)Russian FederationCourses,"5,736",11.4,18%,25 : 75,201–250,50.6–54.2,53.4,45.3,49.9,100.0,60.4,2021
201–250,University of OtagoNew ZealandCourses,"18,571",20.4,21%,59 : 41,201–250,50.6–54.2,29.5,33.4,85.3,37.1,89.8,2021
201–250,RCSI University of Medicine and Health SciencesIrelandCoursesExplore,"2,355",23.1,65%,,201–250,50.6–54.2,30.9,33.3,87.8,50.3,94.1,2021
201–250,University of ReadingUnited KingdomCoursesEnquire,"15,207",15.8,31%,57 : 43,201–250,50.6–54.2,34.3,35.5,74.7,38.2,91.9,2021
201–250,"St George’s, University of LondonUnited KingdomCoursesEnquire","3,425",12.0,21%,62 : 38,201–250,50.6–54.2,22.5,26.9,99.3,36.4,76.6,2021
201–250,University of São PauloBrazilCourses,"82,961",16.1,4%,47 : 53,201–250,50.6–54.2,56.6,58.9,44.2,41.7,35.2,2021
201–250,Sapienza University of RomeItalyCourses,"77,496",22.9,7%,57 : 43,201–250,50.6–54.2,51.9,41.4,68.5,44.0,41.4,2021
201–250,University of South Florida (Tampa)United StatesCoursesEnquire,"34,839",19.2,15%,,201–250,50.6–54.2,31.1,36.9,87.4,93.2,55.6,2021
201–250,University of St AndrewsUnited KingdomCoursesEnquireAdmissions Support,"9,614",12.8,47%,58 : 42,201–250,50.6–54.2,43.3,44.0,55.6,36.7,95.4,2021
201–250,Télécom ParisFranceCourses,897,5.4,43%,19 : 81,201–250,50.6–54.2,44.1,38.1,68.1,81.1,84.7,2021
201–250,Tilburg UniversityNetherlandsCoursesExplore,"9,380",24.0,16%,47 : 53,201–250,50.6–54.2,36.5,50.2,61.9,51.2,79.8,2021
201–250,Tohoku UniversityJapanCourses,"17,752",11.7,12%,27 : 73,201–250,50.6–54.2,57.7,61.0,38.1,97.4,46.7,2021
201–250,University of TwenteNetherlandsCoursesVerify Documents,"8,207",14.4,35%,37 : 63,201–250,50.6–54.2,37.6,46.6,54.7,86.7,92.9,2021
201–250,University of UtahUnited StatesCoursesEnquire,"30,692",14.8,8%,48 : 52,201–250,50.6–54.2,38.3,31.8,86.6,56.4,32.8,2021
201–250,Virginia Polytechnic Institute and State UniversityUnited StatesCoursesExplore,"34,155",18.4,14%,43 : 57,201–250,50.6–54.2,36.2,42.4,72.5,47.8,55.6,2021
201–250,University of WaterlooCanadaCoursesExplore,"32,804",22.8,21%,47 : 53,201–250,50.6–54.2,35.8,43.3,67.1,44.0,86.0,2021
201–250,Western UniversityCanadaCoursesEnquire,"29,865",22.8,18%,56 : 44,201–250,50.6–54.2,39.7,35.8,79.3,64.2,80.7,2021
201–250,University of the WitwatersrandSouth AfricaCoursesExplore,"27,839",25.8,7%,55 : 45,201–250,50.6–54.2,30.7,43.9,77.8,100.0,72.8,2021
201–250,University of WollongongAustraliaCoursesExplore,"18,517",30.5,29%,52 : 48,201–250,50.6–54.2,29.2,36.1,78.1,56.9,94.3,2021
251–300,Alfaisal UniversitySaudi ArabiaCoursesExplore,"2,640",10.2,34%,60 : 40,251–300,48.0–50.5,19.8,21.0,98.7,45.2,97.8,2021
251–300,Auckland University of TechnologyNew ZealandCoursesExplore,"17,909",17.1,49%,59 : 41,251–300,48.0–50.5,21.0,19.9,99.5,36.1,95.9,2021
251–300,Australian Catholic UniversityAustraliaCoursesEnquire,"24,087",46.3,13%,73 : 27,251–300,48.0–50.5,21.5,27.6,89.1,37.8,77.3,2021
251–300,Brighton and Sussex Medical SchoolUnited KingdomCoursesEnquire,900,9.3,14%,59 : 41,251–300,48.0–50.5,18.9,20.3,100.0,33.4,78.7,2021
251–300,University at BuffaloUnited StatesCoursesEnquire,"26,341",17.5,16%,44 : 56,251–300,48.0–50.5,36.8,34.0,73.1,44.7,64.6,2021
251–300,"University of California, RiversideUnited StatesCoursesEnquire","22,498",17.7,14%,53 : 47,251–300,48.0–50.5,31.2,30.3,85.0,37.5,65.7,2021
251–300,University of Cincinnati – UptownUnited StatesCoursesEnquire,"29,309",20.5,9%,51 : 49,251–300,48.0–50.5,35.8,31.2,83.8,38.5,43.6,2021
251–300,Dalhousie UniversityCanadaCoursesEnquire,"15,651",13.3,26%,54 : 46,251–300,48.0–50.5,27.7,29.2,78.4,42.4,87.7,2021
251–300,Deakin UniversityAustraliaCoursesEnquire,"41,341",33.9,26%,57 : 43,251–300,48.0–50.5,25.1,31.4,78.3,40.2,87.1,2021
251–300,École des Ponts ParisTechFranceCoursesVerify Documents,"2,059",11.5,43%,31 : 69,251–300,48.0–50.5,35.7,23.8,79.2,58.7,83.1,2021
251–300,École Normale Supérieure de LyonFranceCourses,"2,362",9.0,13%,48 : 52,251–300,48.0–50.5,44.1,45.6,53.5,50.5,67.0,2021
251–300,Flinders UniversityAustraliaCoursesExplore,"17,167",25.4,40%,64 : 36,251–300,48.0–50.5,21.9,29.8,85.6,37.8,89.2,2021
251–300,Florida State UniversityUnited StatesCoursesEnquire,"38,368",25.8,7%,57 : 43,251–300,48.0–50.5,37.9,40.1,69.5,38.7,45.9,2021
251–300,Friedrich Schiller University JenaGermanyCourses,"17,063",20.1,14%,,251–300,48.0–50.5,39.5,37.2,71.1,49.1,61.5,2021
251–300,George Mason UniversityUnited StatesCoursesEnquire,"30,500",18.1,11%,53 : 47,251–300,48.0–50.5,31.0,28.9,89.9,35.0,47.8,2021
251–300,Goethe University FrankfurtGermanyCourses,"46,481",19.2,16%,57 : 43,251–300,48.0–50.5,33.1,31.1,77.9,41.6,61.0,2021
251–300,HSE UniversityRussian FederationCourses,"25,268",14.8,11%,,251–300,48.0–50.5,34.1,41.4,68.4,59.5,44.5,2021
251–300,University of Illinois at ChicagoUnited StatesCoursesEnquire,"27,031",11.5,20%,52 : 48,251–300,48.0–50.5,43.7,33.0,68.9,42.6,55.7,2021
251–300,Jacobs UniversityGermanyCoursesExplore,"1,353",18.8,76%,43 : 57,251–300,48.0–50.5,38.7,32.1,64.6,57.1,91.1,2021
251–300,University of KielGermanyCoursesVerify Documents,"27,181",22.3,8%,53 : 47,251–300,48.0–50.5,30.2,30.3,85.9,33.3,56.4,2021
251–300,University of KonstanzGermanyCourses,"11,553",51.1,13%,55 : 45,251–300,48.0–50.5,39.0,44.4,59.9,69.6,69.6,2021
251–300,Kyung Hee UniversitySouth KoreaCoursesExplore,"20,862",17.5,23%,54 : 46,251–300,48.0–50.5,37.0,41.4,63.9,85.3,63.5,2021
251–300,Université LavalCanadaCoursesExplore,"28,874",17.2,13%,58 : 42,251–300,48.0–50.5,39.4,33.5,71.4,63.9,69.8,2021
251–300,Macau University of Science and TechnologyMacaoCoursesExplore,"10,596",24.9,84%,56 : 44,251–300,48.0–50.5,29.7,23.6,86.3,40.3,100.0,2021
251–300,University of NavarraSpainCoursesVerify Documents,"11,329",14.9,24%,54 : 46,251–300,48.0–50.5,29.0,27.9,83.3,63.4,69.5,2021
251–300,University of NewcastleAustraliaCoursesEnquire,"23,221",21.7,18%,55 : 45,251–300,48.0–50.5,26.2,30.5,80.7,53.0,84.2,2021
251–300,University of New Mexico (Main campus)United StatesCoursesEnquire,"18,277",16.3,5%,56 : 44,251–300,48.0–50.5,39.8,30.2,82.3,42.3,33.5,2021
251–300,Nova Southeastern UniversityUnited StatesCoursesEnquire,"17,101",21.2,6%,70 : 30,251–300,48.0–50.5,38.7,11.5,99.8,33.3,29.3,2021
251–300,Oregon Health and Science UniversityUnited StatesCoursesEnquire,"2,999",1.0,3%,66 : 34,251–300,48.0–50.5,36.5,17.4,99.7,46.1,27.8,2021
251–300,University of PaduaItalyCourses,"46,900",21.7,7%,55 : 45,251–300,48.0–50.5,40.0,32.8,78.5,38.3,48.8,2021
251–300,University of PotsdamGermanyCoursesExplore,"20,668",55.0,12%,57 : 43,251–300,48.0–50.5,36.4,40.3,66.6,65.3,56.6,2021
251–300,Queen’s UniversityCanadaCoursesEnquireExplore,"24,354",26.1,14%,58 : 42,251–300,48.0–50.5,40.0,36.9,64.8,58.8,68.9,2021
251–300,Ruhr University BochumGermanyCourses,"42,954",59.5,15%,49 : 51,251–300,48.0–50.5,39.5,45.2,63.6,53.9,57.5,2021
251–300,Simon Fraser UniversityCanadaCoursesExplore,"26,778",27.5,30%,55 : 45,251–300,48.0–50.5,25.1,34.3,77.8,47.3,91.9,2021
251–300,University of Southern DenmarkDenmarkCourses,"22,544",12.7,14%,53 : 47,251–300,48.0–50.5,21.1,30.2,85.2,71.1,78.4,2021
251–300,Southern University of Science and Technology (SUSTech)ChinaCoursesExplore,"3,656",9.0,1%,,251–300,48.0–50.5,25.2,35.2,84.1,97.4,59.7,2021
251–300,SUNY University at AlbanyUnited StatesCoursesEnquire,"16,078",16.6,9%,53 : 47,251–300,48.0–50.5,24.2,27.5,93.3,40.1,50.6,2021
251–300,Stellenbosch UniversitySouth AfricaCoursesExplore,"24,525",25.9,8%,56 : 44,251–300,48.0–50.5,28.7,35.7,77.9,73.1,54.1,2021
251–300,Sun Yat-sen UniversityChinaCoursesExplore,"53,734",16.1,8%,50 : 50,251–300,48.0–50.5,41.7,34.9,69.7,62.3,35.6,2021
251–300,University of SurreyUnited KingdomCoursesExplore,"14,315",16.3,38%,54 : 46,251–300,48.0–50.5,30.8,34.5,74.0,43.1,94.5,2021
251–300,Swansea UniversityUnited KingdomCoursesEnquire,"17,353",16.5,22%,45 : 55,251–300,48.0–50.5,20.7,21.6,95.7,36.0,83.3,2021
251–300,University of TartuEstoniaCourses,"8,735",11.9,10%,68 : 32,251–300,48.0–50.5,25.6,28.3,87.8,41.7,59.3,2021
251–300,Università della Svizzera italianaSwitzerlandCourses,"2,713",10.3,67%,49 : 51,251–300,48.0–50.5,29.4,21.5,82.1,56.6,99.6,2021
251–300,University College DublinIrelandCourses,"23,148",23.2,30%,,251–300,48.0–50.5,29.0,37.8,73.3,44.0,93.1,2021
251–300,Vita-Salute San Raffaele UniversityItalyCourses,"2,880",9.8,4%,60 : 40,251–300,48.0–50.5,36.2,21.5,96.1,34.3,43.1,2021
251–300,Vrije Universiteit BrusselBelgiumCoursesVerify Documents,"12,041",29.8,23%,55 : 45,251–300,48.0–50.5,36.6,43.0,63.3,54.8,76.3,2021
251–300,Wake Forest UniversityUnited StatesCoursesEnquireAdmissions Support,"7,804",4.1,10%,54 : 46,251–300,48.0–50.5,39.1,20.5,89.1,42.2,32.6,2021
251–300,Western Sydney UniversityAustraliaCoursesExplore,"34,750",37.8,20%,56 : 44,251–300,48.0–50.5,24.4,30.9,88.0,41.6,86.7,2021
251–300,William & MaryUnited StatesCoursesEnquireAdmissions Support,"8,278",11.1,9%,56 : 44,251–300,48.0–50.5,46.1,19.8,84.7,34.5,38.2,2021
301–350,American University of BeirutLebanonCourses,"8,603",8.4,22%,51 : 49,301–350,45.6–47.9,29.3,15.3,87.9,35.4,78.9,2021
301–350,Anglia Ruskin University ARUUnited KingdomCoursesEnquire,"18,932",24.0,33%,64 : 36,301–350,45.6–47.9,17.8,15.4,100.0,34.1,87.6,2021
301–350,Autonomous University of MadridSpainCourses,"29,825",13.5,14%,61 : 39,301–350,45.6–47.9,32.7,29.0,75.4,36.1,53.3,2021
301–350,Beijing Normal UniversityChinaCourses,"23,365",14.9,11%,,301–350,45.6–47.9,46.5,41.2,54.1,69.7,43.3,2021
301–350,Boston CollegeUnited StatesCoursesEnquireAdmissions Support,"12,921",15.5,11%,54 : 46,301–350,45.6–47.9,48.2,33.3,64.5,33.5,44.0,2021
301–350,"University of California, MercedUnited StatesCoursesEnquire","7,849",21.2,9%,51 : 49,301–350,45.6–47.9,21.6,23.0,95.2,38.8,43.9,2021
301–350,University of Colorado Denver/Anschutz Medical CampusUnited StatesCoursesEnquire,"17,112",4.0,8%,56 : 44,301–350,45.6–47.9,32.7,19.1,94.2,41.0,29.9,2021
301–350,Cyprus University of TechnologyCyprusCourses,"3,176",17.4,11%,55 : 45,301–350,45.6–47.9,18.3,17.8,98.2,35.1,76.0,2021
301–350,University of DelawareUnited StatesCoursesEnquire,"21,564",17.1,10%,57 : 43,301–350,45.6–47.9,27.9,39.7,69.1,95.1,48.9,2021
301–350,University of EssexUnited KingdomCoursesEnquire,"12,435",15.6,38%,53 : 47,301–350,45.6–47.9,30.8,34.8,67.2,34.4,96.5,2021
301–350,University of GreifswaldGermanyCourses,"10,179",21.0,7%,56 : 44,301–350,45.6–47.9,31.3,25.7,80.8,40.0,47.4,2021
301–350,Huazhong University of Science and TechnologyChinaCoursesExplore,"56,941",16.3,6%,36 : 64,301–350,45.6–47.9,39.8,39.4,63.3,91.9,27.7,2021
301–350,Illinois Institute of TechnologyUnited StatesCoursesEnquire,"6,092",14.5,49%,36 : 64,301–350,45.6–47.9,42.2,27.3,63.3,36.4,75.7,2021
301–350,Indian Institute of ScienceIndiaCourses,"4,038",9.3,1%,27 : 73,301–350,45.6–47.9,58.1,53.1,31.9,87.6,22.1,2021
301–350,Johannes Gutenberg University of MainzGermanyCourses,"31,773",25.7,11%,59 : 41,301–350,45.6–47.9,34.3,25.9,77.5,64.4,57.4,2021
301–350,University of KentUnited KingdomCoursesExplore,"17,843",19.3,30%,53 : 47,301–350,45.6–47.9,26.4,30.0,73.7,33.8,91.1,2021
301–350,University of KlagenfurtAustriaCourses,"3,361",10.1,23%,69 : 31,301–350,45.6–47.9,30.4,17.7,85.5,34.8,88.2,2021
301–350,Kurdistan University of Medical SciencesIranCourses,"2,927",11.0,1%,51 : 49,301–350,45.6–47.9,39.8,9.7,100.0,35.8,19.1,2021
301–350,University of MacauMacaoCoursesExplore,"9,343",14.0,36%,56 : 44,301–350,45.6–47.9,30.0,35.5,64.8,40.9,99.3,2021
301–350,University of MalayaMalaysiaCourses,"15,794",8.3,20%,65 : 35,301–350,45.6–47.9,39.3,31.5,60.0,44.4,83.7,2021
301–350,University of MarburgGermanyCourses,"24,527",32.6,12%,55 : 45,301–350,45.6–47.9,34.4,29.0,72.6,39.1,53.4,2021
301–350,Montpellier UniversityFranceCourses,"39,703",19.7,15%,53 : 47,301–350,45.6–47.9,36.8,29.7,67.5,36.9,61.9,2021
301–350,"National University of Ireland, GalwayIrelandCourses","14,453",26.6,18%,58 : 42,301–350,45.6–47.9,26.8,31.9,69.6,45.8,80.2,2021
301–350,North Carolina State UniversityUnited StatesCoursesEnquire,"29,966",12.5,15%,46 : 54,301–350,45.6–47.9,36.6,36.3,62.3,42.6,59.0,2021
301–350,University of OregonUnited StatesCoursesEnquire,"22,019",10.6,10%,54 : 46,301–350,45.6–47.9,33.0,24.2,83.1,34.3,35.9,2021
301–350,University of OuluFinlandCoursesExplore,"9,822",26.6,7%,53 : 47,301–350,45.6–47.9,31.4,32.8,74.6,51.0,55.4,2021
301–350,University of PassauGermanyCourses,"11,249",91.4,14%,59 : 41,301–350,45.6–47.9,33.8,40.0,64.4,40.5,60.5,2021
301–350,Peter the Great St Petersburg Polytechnic UniversityRussian FederationCoursesExplore,"16,768",9.2,31%,39 : 61,301–350,45.6–47.9,27.1,16.9,90.0,74.8,56.1,2021
301–350,Qatar UniversityQatarCourses,"8,808",9.2,37%,75 : 25,301–350,45.6–47.9,25.0,30.7,71.7,54.0,99.4,2021
301–350,Reykjavík UniversityIcelandCourses,"2,501",23.4,9%,46 : 54,301–350,45.6–47.9,15.1,20.6,100.0,35.0,69.4,2021
301–350,RMIT UniversityAustraliaCoursesEnquire,"33,427",23.1,33%,48 : 52,301–350,45.6–47.9,25.8,30.2,70.5,44.2,93.5,2021
301–350,"Royal Holloway, University of LondonUnited KingdomCoursesEnquire","9,686",14.7,35%,58 : 42,301–350,45.6–47.9,32.3,31.4,65.1,35.7,91.9,2021
301–350,Rush UniversityUnited StatesCoursesEnquire,"2,624",2.2,2%,74 : 26,301–350,45.6–47.9,39.9,14.6,92.2,41.7,21.3,2021
301–350,Sejong UniversitySouth KoreaCourses,"12,207",20.2,11%,46 : 54,301–350,45.6–47.9,26.8,25.3,86.9,44.3,47.3,2021
301–350,University of South AustraliaAustraliaCoursesEnquire,"20,930",30.6,20%,58 : 42,301–350,45.6–47.9,24.5,36.1,67.2,86.9,86.2,2021
301–350,Stony Brook UniversityUnited StatesCoursesEnquire,"24,593",10.6,23%,50 : 50,301–350,45.6–47.9,33.3,24.5,78.4,34.7,71.8,2021
301–350,Syracuse UniversityUnited StatesCoursesEnquireAdmissions Support,"20,484",15.0,20%,53 : 47,301–350,45.6–47.9,34.7,28.3,73.7,34.9,49.6,2021
301–350,Taipei Medical UniversityTaiwanCoursesExplore,"6,112",9.8,10%,58 : 42,301–350,45.6–47.9,30.3,33.2,77.5,96.0,40.3,2021
301–350,Tampere UniversityFinlandCourses,"15,267",21.8,6%,52 : 48,301–350,45.6–47.9,26.0,32.8,83.3,54.0,51.6,2021
301–350,Technical University of DarmstadtGermanyCourses,"17,814",39.8,17%,31 : 69,301–350,45.6–47.9,44.3,44.6,48.1,87.4,58.2,2021
301–350,Temple UniversityUnited StatesCoursesEnquire,"36,398",13.1,9%,53 : 47,301–350,45.6–47.9,38.8,25.3,81.3,33.3,39.2,2021
301–350,The University of Tennessee-KnoxvilleUnited StatesCoursesEnquire,"26,184",16.6,5%,,301–350,45.6–47.9,33.1,24.2,81.3,43.7,46.7,2021
301–350,University of Texas at DallasUnited StatesCoursesExplore,"23,587",20.8,23%,43 : 57,301–350,45.6–47.9,25.0,27.7,81.1,39.6,59.8,2021
301–350,Tokyo Institute of TechnologyJapanCourses,"9,566",7.8,13%,15 : 85,301–350,45.6–47.9,51.8,54.2,34.7,71.8,41.1,2021
301–350,University of TrentoItalyCourses,"13,180",20.1,7%,51 : 49,301–350,45.6–47.9,28.1,31.8,74.9,39.8,58.2,2021
301–350,Tulane UniversityUnited StatesCoursesEnquireAdmissions Support,"11,224",9.1,11%,58 : 42,301–350,45.6–47.9,42.9,24.1,78.2,35.8,43.2,2021
301–350,United Arab Emirates UniversityUnited Arab EmiratesCoursesExplore,"7,270",8.9,18%,83 : 17,301–350,45.6–47.9,24.7,21.3,83.6,55.8,89.4,2021
301–350,University College CorkIrelandCourses,"17,051",17.6,19%,58 : 42,301–350,45.6–47.9,23.7,23.5,82.9,44.8,82.5,2021
301–350,Washington State UniversityUnited StatesCoursesEnquire,"28,482",18.4,7%,53 : 47,301–350,45.6–47.9,32.1,30.5,76.9,49.4,49.3,2021
