Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook,Year,Country
224,University of Technology Sydney Australia,"24,519",44.1,31%,53:47:00,-,27.2,35.4,66.9,43.4,90.1,2016,Australia
225,Johannes Gutenberg University of Mainz Germany,"35,609",32.6,10%,58:42:00,-,34.9,21.7,72.6,70.7,53.3,2016,Germany
226,Joseph Fourier University France,"16,130",12.1,13%,,-,34.2,21.6,83.2,31.6,58.6,2016,France
227,University of Kiel Germany,"24,444",23.8,8%,53:47:00,-,32.3,20.5,89.5,-,49.4,2016,Germany
228,Université Laval Canada,"27,227",16.2,12%,,-,37.5,31.7,62.2,57.5,63.8,2016,Canada
229,Medical University of Vienna Austria,"7,426",2.9,28%,50:50:00,-,26.6,14.6,89.1,33.9,81.7,2016,Austria
230,Northeastern University United States,"18,539",15.1,26%,50:50:00,-,35.5,20.6,84,32.9,58.7,2016,United States
231,Oregon Health and Science University United States,"2,838",1.1,3%,65:35:00,-,27.8,15.7,96,44.6,21.4,2016,United States
232,University of Otago New Zealand,"18,600",20.3,21%,57:43:00,-,30.7,30.5,74.9,31.5,89.9,2016,New Zealand
233,University of Ottawa Canada,"36,733",26.3,15%,60:40:00,-,37.1,36.7,61.5,41.5,69.9,2016,Canada
234,Paris Descartes University France,"34,691",26.9,15%,63:37:00,-,24.6,28.8,83.3,29,49.1,2016,France
235,Peter the Great St Petersburg Polytechnic University Russian Federation,"17,155",7.2,8%,40 : 60,-,30.8,17.8,97.4,42.5,29.6,2016,Russian Federation
236,Politecnico di Milano Italy,"30,025",22.2,12%,34 : 66,-,30.1,31.7,76.3,66.3,48.8,2016,Italy
237,Royal Veterinary College United Kingdom,"1,819",10.9,17%,77:23:00,-,26,27.8,74.9,45.5,81.7,2016,United Kingdom
238,Rush University United States,"1,855",2.1,5%,71:29:00,-,37.7,17.4,88.9,45.4,21.8,2016,United States
239,Sapienza University of Rome Italy,"120,986",32.3,7%,59:41:00,-,38,37.3,61.5,32.6,34.7,2016,Italy
240,University of Science and Technology of China China,"14,290",7.9,2%,,-,46.7,36.6,67.2,80.3,21.4,2016,China
241,University of South Florida ( Tampa) United States,"31,424",21.5,10%,,-,24.8,35.7,73.4,99.8,45.1,2016,United States
242,Stony Brook University United States,"21,908",10.9,24%,50:50:00,-,32.6,22,83,33.4,53.2,2016,United States
243,University of Stuttgart Germany,"24,099",45.4,20%,31 : 69,-,40,44.5,55.7,99.8,52.7,2016,Germany
244,Swedish University of Agricultural Sciences Sweden,"3,879",4.6,0%,67:33:00,-,31.5,32.8,68.1,99.9,40.1,2016,Sweden
245,Technical University of Darmstadt Germany,"20,300",53.6,18%,28 : 72,-,37.1,43.2,51.1,99.1,54.4,2016,Germany
246,Tel Aviv University Israel,"23,977",24.4,4%,,-,41,50.5,49.2,42.9,47.5,2016,Israel
247,University of Texas at Dallas United States,"16,306",22.8,23%,44:56:00,-,24.3,26.7,86.8,41.8,52.3,2016,United States
248,Tilburg University Netherlands,"7,576",22.4,10%,49:51:00,-,34.1,47.1,51.5,57.4,71.6,2016,Netherlands
249,Tohoku University Japan,"17,200",5,7%,25 : 75,-,45.3,42.7,49.4,74.7,29.3,2016,Japan
250,Tokyo Institute of Technology Japan,"9,586",7.3,13%,0.602083333,-,45.6,47.6,42.2,70.9,31.9,2016,Japan
251,University of Victoria Canada,"17,581",21.5,11%,56:44:00,-,20.6,30,79,36.6,70.2,2016,Canada
252,Wake Forest University United States,"7,326",4.6,5%,51:49:00,-,34.6,19.5,94.8,42.5,24.2,2016,United States
253,Western University Canada,"27,387",20.7,16%,54:46:00,-,38.6,32.4,59,59.7,73.6,2016,Canada
254,William & Mary United States,"7,867",11.8,7%,54:46:00,-,38.5,17.5,85,29.1,26.6,2016,United States
255,University of the Witwatersrand South Africa,"23,321",18.6,9%,56:44:00,-,26.2,31.5,76,99.7,68.4,2016,South Africa
256,Aalto University Finland,"16,099",24.2,17%,32 : 68,-,31.1,32.8,62.1,61.6,65.4,2016,Finland
257,Aix- Marseille University France,"71,749",45.5,13%,61:39:00,-,36.7,22.1,64.9,33.1,63,2016,France
258,University of Bath United Kingdom,"12,830",18.8,30%,46:54:00,-,28.9,27.9,56.7,36.3,84.8,2016,United Kingdom
259,University of Bayreuth Germany,"12,520",35.5,8%,46:54:00,-,32.2,31.2,60.1,56.4,52.6,2016,Germany
260,Bielefeld University Germany,"21,428",67.8,7%,57:43:00,-,35.2,46.2,49.9,60.9,45.4,2016,Germany
261,University of Bordeaux France,"51,239",19.4,12%,58:42:00,-,25.3,22,71.7,30.6,54.6,2016,France
262,Charles Darwin University Australia,"5,570",25.4,15%,67:33:00,-,17.8,22.6,85.9,43.2,63.7,2016,Australia
263,Colorado School of Mines United States,"5,287",18.2,12%,26 : 74,-,28.5,30.3,71.8,83.7,35.5,2016,United States
264,"Colorado State University, Fort Collins United States","26,769",19,5%,52:48:00,-,31.6,33,59.3,41,34.5,2016,United States
265,University of Delaware United States,"19,262",15.9,10%,56:44:00,-,23.7,34,70,98.7,41.6,2016,United States
266,Flinders University Australia,"15,655",22.6,15%,63:37:00,-,21.4,25.7,69.5,41.7,64.7,2016,Australia
267,University of Georgia United States,"33,119",19.9,7%,57:43:00,-,41.1,30.5,52.2,30.9,39.2,2016,United States
268,Griffith University Australia,"30,251",22,21%,0.069444444,-,22.5,25.2,66.3,34.6,81.7,2016,Australia
269,Indian Institute of Science India,"3,318",8.2,1%,0.847916667,-,42.7,47.2,42.4,52.4,16.4,2016,India
270,Iowa State University United States,"29,991",17.4,11%,44:56:00,-,31.2,29.4,61.5,54,35.4,2016,United States
271,James Cook University Australia,"11,713",21.9,11%,63:37:00,-,19,22.8,81.4,40.7,70.4,2016,Australia
272,Justus Liebig University Giessen Germany,"25,682",53.9,9%,62:38:00,-,32.9,33.9,52.9,46.4,46.8,2016,Germany
273,King Abdulaziz University Saudi Arabia,"35,889",8.4,21%,57:43:00,-,23.9,11.8,76.6,73.1,93,2016,Saudi Arabia
274,Koç University Turkey,"4,488",14.6,8%,52:48:00,-,21.2,27.1,74.9,82.4,53.5,2016,Turkey
275,Korea University South Korea,"24,043",15.8,14%,,-,43.9,43.4,41.8,99.8,40.2,2016,South Korea
276,University of Liège Belgium,"20,951",25.9,23%,54:46:00,-,29.1,36.6,46.5,98.9,69.7,2016,Belgium
277,Linköping University Sweden,"17,866",7.7,10%,52:48:00,-,24.2,18.9,76.8,42.1,57.7,2016,Sweden
278,Nanjing University China,"29,743",13.3,10%,46:54:00,-,37.2,32.2,54.2,58.6,50.4,2016,China
279,National Tsing Hua University Taiwan,"10,221",13.5,5%,33 : 67,-,37.7,36.6,53,49.5,23.2,2016,Taiwan
280,"National University of Ireland, Galway Ireland","14,067",26.8,14%,56:44:00,-,27.3,25.4,68.5,41.9,76.5,2016,Ireland
281,University of Newcastle Australia,"23,508",21.9,18%,56:44:00,-,27.4,26.5,67.2,64.4,75.9,2016,Australia
282,North Carolina State University United States,"30,533",13.6,11%,44:56:00,-,36.1,30.5,60,40.7,49,2016,United States
283,National Research Nuclear University M E Ph I Russian Federation,"7,801",7.3,7%,29 : 71,-,44.9,27.8,52.8,99.8,27.5,2016,Russian Federation
284,Oregon State University United States,"22,578",16.8,8%,47:53:00,-,30.6,28.5,63.8,32.1,42.8,2016,United States
285,Osaka University Japan,"23,144",7.8,9%,31 : 69,-,46.8,45.2,37.4,76.1,26.6,2016,Japan
286,Queen’s University Canada,"20,488",22.1,10%,58:42:00,-,35.8,35.8,54.4,54.2,61.6,2016,Canada
287,Technion Israel Institute of Technology Israel,"13,855",19.4,4%,35 : 65,-,33,36.1,52.1,38.9,61.9,2016,Israel
288,Queensland University of Technology Australia,"33,391",35.8,17%,54:46:00,-,28.8,35.6,56,73.7,76,2016,Australia
289,Rensselaer Polytechnic Institute United States,"6,671",15,16%,30 : 70,-,30.4,31.5,65.1,79.6,40.3,2016,United States
290,R C S I University of Medicine and Health Sciences Ireland,"2,473",15.6,63%,55:45:00,-,29.9,20.1,65.3,33.9,90.1,2016,Ireland
291,Ruhr University Bochum Germany,"38,675",46.3,13%,48:52:00,-,32.8,30,54.4,66.6,51.7,2016,Germany
292,Saint Louis University United States,"11,919",5.8,8%,58:42:00,-,36.9,10.9,85,29.9,26.6,2016,United States
293,Paris- Sorbonne University – Paris 4 France,"21,580",27.4,21%,69:31:00,-,61,55.8,7.1,28.5,44.2,2016,France
294,Simon Fraser University Canada,"26,640",28.3,19%,55:45:00,-,23.2,29.2,72.8,42.3,61.4,2016,Canada
295,University of Surrey United Kingdom,"12,063",16.6,38%,55:45:00,-,31.7,28.9,51.2,34.9,90.4,2016,United Kingdom
296,Syracuse University United States,"19,660",15.9,15%,55:45:00,-,31.4,20.8,77.1,36.3,38.3,2016,United States
297,University of Tasmania Australia,"18,340",23.8,21%,57:43:00,-,21.8,25.7,68,42.7,79.1,2016,Australia
298,The University of Tennessee- Knoxville United States,"24,716",17,5%,,-,29.5,23.2,81.4,41.3,39.3,2016,United States
299,Tomsk Polytechnic University Russian Federation,"11,902",6.9,17%,39 : 61,-,31.6,15.1,82.4,60.2,32.7,2016,Russian Federation
300,Tulane University United States,"11,381",8.4,8%,56:44:00,-,39.1,19.3,67.8,32.4,35.3,2016,United States
301,Umeå University Sweden,"16,667",11.9,7%,60:40:00,-,20.8,25,74.5,31.1,56.1,2016,Sweden
302,T U Wien Austria,"26,419",52,27%,27 : 73,-,34.1,32,54.6,86.5,77.3,2016,Austria
303,Virginia Polytechnic Institute and State University United States,"30,850",18.6,10%,42:58:00,-,34.9,38.2,54.2,43.3,29.5,2016,United States
304,University of Wollongong Australia,"16,489",25.4,24%,50:50:00,-,25.8,28.4,59.3,57.9,86.8,2016,Australia
305,Zhejiang University China,"47,508",15.9,4%,41:59:00,-,44.3,46,36.1,96.2,19.6,2016,China
306,Aberystwyth University United Kingdom,"9,252",19.2,18%,48:52:00,-,21.6,18.9,67.2,31.3,72.2,2016,United Kingdom
307,University of Alaska Fairbanks United States,"3,837",8.2,7%,53:47:00,-,25.1,23.1,63,51.2,53.5,2016,United States
308,Autonomous University of Madrid Spain,"28,296",13,15%,56:44:00,-,35.6,30.9,46.9,33,48.6,2016,Spain
309,Bangor University United Kingdom,"9,567",19.5,22%,55:45:00,-,22.6,22.1,65.4,31,81.3,2016,United Kingdom
310,University of Bremen Germany,"18,590",25.6,11%,50:50:00,-,30.9,32.7,50,46,50,2016,Germany
311,University of Cincinnati – Uptown United States,"36,108",15.7,6%,54:46:00,-,31.3,20.4,72.1,35.3,28.3,2016,United States
312,University of Connecticut United States,"25,742",13,11%,51:49:00,-,35.9,25.6,57,30.9,43.1,2016,United States
313,Deakin University Australia,"32,713",30.4,17%,60:40:00,-,22.4,21.9,66.8,30,76.9,2016,Australia
314,University of Essex United Kingdom,"12,695",19.8,39%,55:45:00,-,33.9,33.3,38.6,28.9,93.7,2016,United Kingdom
315,George Mason University United States,"26,622",17,7%,54:46:00,-,29.6,21.2,64.9,29.1,36.9,2016,United States
316,University of Greifswald Germany,"10,931",24,6%,55:45:00,-,30.1,23.5,61.3,32.6,41.7,2016,Germany
317,Gwangju Institute of Science and Technology South Korea,"1,394",9.6,8%,25 : 75,-,35.2,42,43.7,45.2,36.2,2016,South Korea
318,University of Hohenheim Germany,"9,163",41.2,13%,56:44:00,-,30.9,33.8,51.5,52.8,50.3,2016,Germany
319,University of Innsbruck Austria,"18,209",16.9,39%,54:46:00,-,23.6,16.9,67.3,39.9,95.7,2016,Austria
320,Kazan Federal University Russian Federation,"23,321",12.2,6%,69:31:00,-,21.9,12.3,87.5,42.4,25.5,2016,Russian Federation
321,University of Kent United Kingdom,"17,638",14.4,27%,53:47:00,-,24.6,19.1,60.9,28.8,87.2,2016,United Kingdom
322,Leibniz University Hannover Germany,"22,401",62.7,12%,41:59:00,-,36.5,36.9,39,69.6,43.2,2016,Germany
323,Macquarie University Australia,"27,930",20,44%,55:45:00,-,28.5,27.2,52.3,33.1,90,2016,Australia
324,Medical College of Wisconsin United States,"1,211",0.6,5%,48:52:00,-,25.4,12.1,85.2,31.8,30.4,2016,United States
325,University of Milan Italy,"58,618",24.3,5%,60:40:00,-,30.5,24.2,64.8,40.9,37.7,2016,Italy
326,University of Milan- Bicocca Italy,"33,370",72.5,5%,60:40:00,-,24.3,25.5,65.8,46.6,34.3,2016,Italy
327,Montpellier University France,"36,731",18.4,14%,51:49:00,-,38.7,16.7,59.5,31.9,54.4,2016,France
328,Nagoya University Japan,"15,529",7.9,10%,29 : 71,-,40.8,38.9,40.1,91.4,27.4,2016,Japan
329,University of Naples Federico I I Italy,"83,653",64.2,1%,,-,24.7,14.8,81.3,47.4,21.1,2016,Italy
330,National Chiao Tung University Taiwan,"12,646",16.6,5%,27 : 73,-,32.9,45.4,34.2,96.9,32,2016,Taiwan
331,National Taiwan University of Science and Technology ( Taiwan Tech) Taiwan,"7,446",17.4,11%,34 : 66,-,31.7,43.1,39.1,92.2,30.5,2016,Taiwan
332,University of Navarra Spain,"11,259",10.6,16%,52:48:00,-,31.9,20.8,57.5,63.5,52.6,2016,Spain
333,University of Nebraska- Lincoln United States,"21,789",16.4,9%,46:54:00,-,30.1,30.2,53.5,35.6,45.8,2016,United States
334,Örebro University Sweden,"8,788",15.8,2%,61:39:00,-,18.3,10.4,87.8,29.8,39.4,2016,Sweden
335,University of Oregon United States,"24,418",20.2,11%,52:48:00,-,21.2,22.7,72.6,30.8,33.5,2016,United States
336,University of Padua Italy,"62,577",18.3,4%,56:44:00,-,25.7,22.6,74.6,32.6,37.9,2016,Italy
337,University of Pavia Italy,"22,958",40.6,6%,56:44:00,-,25,22.5,65.1,69.4,40.5,2016,Italy
338,University of Plymouth United Kingdom,"24,121",25.9,13%,52:48:00,-,19.3,18,75.2,28.5,64,2016,United Kingdom
339,Shanghai Jiao Tong University China,"38,191",12.8,6%,37 : 63,-,37.8,45.2,34,92.9,27.5,2016,China
340,University of Southern Denmark Denmark,"22,210",12.7,16%,52:48:00,-,19.2,14.7,79.7,28,71.8,2016,Denmark
341,Stellenbosch University South Africa,"21,849",23,8%,53:47:00,-,28.2,35,46.9,100,49.8,2016,South Africa
342,University of Strasbourg France,"46,208",17.8,21%,58:42:00,-,25.5,23.4,64.4,32.8,71.6,2016,France
343,T U Dortmund University Germany,"29,143",88.9,10%,47:53:00,-,34.2,29.8,55.3,48.6,40.8,2016,Germany
344,Toulouse 1 Capitole University France,"19,011",43.8,19%,59:41:00,-,18.6,35.7,56.3,32.5,66.7,2016,France
345,University of Trieste Italy,"18,135",25.8,9%,56:44:00,-,26.5,18.5,74.1,32.3,47.3,2016,Italy
346,University of Turin Italy,"67,552",66,6%,62:38:00,-,27.4,22.3,67.5,54.2,38.8,2016,Italy
347,University of Turku Finland,"12,326",14.6,5%,61:39:00,-,27.1,21.2,65.8,31.2,66.2,2016,Finland
348,Vrije Universiteit Brussel Belgium,"9,020",17.1,16%,55:45:00,-,28.7,24.5,56.8,77.1,64.5,2016,Belgium
349,V S B - Technical University of Ostrava Czech Republic,"14,991",23.9,5%,49:51:00,-,18.8,15.7,85.5,32.1,22.3,2016,Czech Republic
350,Yonsei University South Korea,"24,774",11.6,14%,,-,37.2,34.1,39.4,75.9,41.5,2016,South Korea
351,York University Canada,"48,007",39.4,9%,59:41:00,-,30.2,30.8,49.1,33.2,58.2,2016,Canada
352,S U N Y Binghamton University United States,"15,799",23.3,13%,48:52:00,-,22.7,17.4,62,34,53.6,2016,United States
353,University of Crete Greece,"14,650",26.9,5%,63:37:00,-,18.6,19.2,73.6,34.5,47,2016,Greece
354,University of Cyprus Cyprus,"6,880",22.9,8%,69:31:00,-,18,28.5,56.7,30,74.7,2016,Cyprus
355,Drexel University United States,"20,713",10.8,17%,48:52:00,-,31.2,14.6,57.7,36.3,46.3,2016,United States
356,University of Eastern Finland Finland,"10,798",17.3,6%,64:36:00,-,24.8,20.7,65.1,33.3,46.1,2016,Finland
357,University of Florence Italy,"54,290",17.2,7%,59:41:00,-,21.7,20.4,72.1,35.9,38.5,2016,Italy
358,University of St Gallen Switzerland,"6,848",10.8,34%,32 : 68,-,25.8,11.2,53.5,41.8,97.6,2016,Switzerland
359,Graz University of Technology Austria,"7,542",12.5,16%,0.970833333,-,26,15.8,52.9,77.2,69.3,2016,Austria
360,University of Guelph Canada,"21,643",28.3,4%,60:40:00,-,28,34.2,44.4,47.4,53.6,2016,Canada
361,Hanyang University South Korea,"16,729",10.4,19%,,-,33.9,32.6,31.1,87.9,54.3,2016,South Korea
362,Hong Kong Baptist University Hong Kong,"10,441",11,25%,61:39:00,-,22.6,12.1,67.9,28.8,75,2016,Hong Kong
363,University of Houston United States,"40,325",43.7,9%,50:50:00,-,34.9,26.5,52,42.3,33.9,2016,United States
364,Indian Institute of Technology Bombay India,"8,327",14.9,1%,0.725,-,37.8,28.6,48.5,42.3,17.7,2016,India
365,Instituto Superior Técnico Lisboa Portugal,"11,778",16.9,9%,27 : 73,-,22.2,25,59.8,38.8,43.7,2016,Portugal
366,University of Jyväskylä Finland,"9,703",15.2,5%,62:38:00,-,28.2,25.5,55.5,34.2,47.1,2016,Finland
367,La Trobe University Australia,"22,037",29,27%,63:37:00,-,27,28.5,45.4,43.7,78,2016,Australia
368,Loughborough University United Kingdom,"13,951",15.9,22%,38 : 62,-,31.2,32.2,41.3,36.6,72.9,2016,United Kingdom
369,University of Manitoba Canada,"28,576",27.8,11%,55:45:00,-,27.1,26.9,49.7,41.8,57.8,2016,Canada
370,Mizzou - University of Missouri United States,"29,885",14.1,5%,53:47:00,-,31.2,21,60.2,31.1,31,2016,United States
371,University of Modena and Reggio Emilia Italy,"19,693",25.3,6%,54:46:00,-,18.7,15.6,72.9,32.3,34.2,2016,Italy
372,University of Montana United States,"12,470",15.2,3%,54:46:00,-,30.8,13.6,65.5,31,21.5,2016,United States
373,Maynooth University Ireland,"7,653",28,11%,55:45:00,-,24.6,22.8,50.2,36.6,75.6,2016,Ireland
374,University of Nebraska Medical Center United States,"2,857",2.6,8%,67:33:00,-,37,13.3,64.4,33.6,37.7,2016,United States
375,University of New Mexico ( Main campus) United States,"23,618",6.5,4%,67:33:00,-,25.6,15.4,74.5,37,28.6,2016,United States
376,Norwegian University of Science and Technology Norway,"17,381",13.9,9%,46:54:00,-,16.3,25.8,59.8,51.8,59.9,2016,Norway
377,University of Oulu Finland,"14,056",8.5,6%,49:51:00,-,23.1,15.9,62.3,30.9,56.9,2016,Finland
378,Panthéon- Sorbonne University – Paris 1 France,"42,215",34.3,20%,59:41:00,-,53.2,47.6,6.8,28.3,47.6,2016,France
379,Polytechnic University of Turin Italy,"27,709",19.6,16%,29 : 71,-,23.7,18.6,65.9,42.5,50.6,2016,Italy
380,University of Rome I I I Italy,"36,353",61.2,5%,59:41:00,-,23.1,21,64.8,37.5,35.9,2016,Italy
381,Bilkent University Turkey,"9,370",13.6,3%,46:54:00,-,23.5,18.6,64.1,36.4,47.5,2016,Turkey
382,Sabancı University Turkey,"2,739",15.9,6%,39 : 61,-,22.3,32.3,52.8,70,42.7,2016,Turkey
383,San Diego State University United States,"27,420",31.7,5%,57:43:00,-,20.3,27,62.7,29.3,25.9,2016,United States
384,University of South Australia Australia,"18,971",26.2,32%,59:41:00,-,26.4,26.7,41.2,85.9,89,2016,Australia
385,University of South Carolina- Columbia United States,"29,336",16.3,1%,55:45:00,-,31.1,21.5,58.7,30.3,24.5,2016,United States
386,University of South Dakota United States,"8,003",17.1,2%,61:39:00,-,29.3,12.1,70.4,28,17.1,2016,United States
387,University of Campinas Brazil,"27,095",15.3,3%,48:52:00,-,44.6,42.3,22.6,49.4,21.1,2016,Brazil
388,University of Stirling United Kingdom,"7,828",15.9,22%,61:39:00,-,22.6,23.5,59.1,30.4,77.7,2016,United Kingdom
389,Sun Yat-sen University China,"51,351",16.6,8%,51:49:00,-,31.9,24.6,45.7,79.4,37,2016,China
390,Swansea University United Kingdom,"12,801",17.1,20%,49:51:00,-,22.2,23.8,58.2,32.7,72.4,2016,United Kingdom
391,Swinburne University of Technology Australia,"20,314",36.5,32%,44:56:00,-,21.5,20.2,53.4,32.2,84.8,2016,Australia
392,University of Tartu Estonia,"10,269",13,3%,66:34:00,-,23.8,22.8,64.2,31.5,46.1,2016,Estonia
393,Temple University United States,"33,268",13.3,5%,51:49:00,-,34,18.2,58.3,41.6,28.6,2016,United States
394,The University of Texas at San Antonio United States,"27,520",26.9,6%,48:52:00,-,18.1,16.6,74.9,28.6,29.6,2016,United States
395,Ui T The Arctic University of Norway Norway,"10,398",12.2,10%,60:40:00,-,26.5,18.7,58.8,36.8,66.1,2016,Norway
396,Université Libre de Bruxelles Belgium,"23,819",26.1,32%,54:46:00,-,26.1,28.3,47.9,39.1,84.5,2016,Belgium
397,Lille 2 University – Health and Law France,"26,894",38.5,8%,58:42:00,-,15.1,9.5,81.7,31.5,39.4,2016,France
398,University College Cork Ireland,"15,805",22.3,15%,55:45:00,-,28.6,23.8,48.4,47.1,75.5,2016,Ireland
399,Verona University Italy,"25,250",19.7,7%,65:35:00,-,23.6,13.1,76.1,36.6,38.3,2016,Italy
400,Victoria University of Wellington New Zealand,"17,142",21.1,21%,55:45:00,-,26,28.7,44.3,45.6,88.8,2016,New Zealand
401,Washington State University United States,"24,550",18.3,7%,50:50:00,-,29,28.2,49.6,57.1,39.6,2016,United States
402,Wayne State University United States,"23,065",10.7,6%,57:43:00,-,31.9,14.2,65.3,41.7,29.6,2016,United States
403,American University United States,"11,604",12,12%,60:40:00,-,42.2,16.5,41.1,35.9,28.9,2016,United States
404,Aston University United Kingdom,"8,834",17.8,31%,48:52:00,-,18.4,20.4,51.9,34.6,92.5,2016,United Kingdom
405,University of Aveiro Portugal,"10,791",17.8,10%,51:49:00,-,24.8,26.5,43.6,40.1,45.9,2016,Portugal
